,0
close_open_ratio,0.14057116
ret_5d,0.10875988
bb_position,0.10771303
high_low_ratio,0.098638564
reversal_5d,0.09761968
momentum_20d,0.09602192
ma5_ma20_ratio,0.09126963
volume_ratio,0.09052481
momentum_volatility_ratio,0.084865265
macd_signal,0.0840161
rsi,0.0
bb_mid,0.0
ma10,0.0
ma5_rsi_interact,0.0
ma20,0.0
ma5_ma10_diff,0.0
ma5_ma20_diff,0.0
volatility_20d,0.0
macd,0.0
volatility_60d,0.0
amount_ratio,0.0
amount_ma20,0.0
ma5,0.0
volume_ma5,0.0
volume_rsi_signal,0.0
