date,code,y_true,y_true_cls,y_pred_proba,y_pred_cls
2026-01-27,601825,0.0,0,0.5514848,1
2026-01-27,600989,0.05398230088495559,1,0.48798552,0
2026-01-27,000100,-0.007843137254901933,0,0.503307,1
2026-01-27,600036,-0.007874015748031593,0,0.5257855,1
2026-01-27,601100,-0.0055786770565837696,0,0.48041406,0
2026-01-27,300274,-0.03344079903913011,0,0.47559947,0
2026-01-27,300498,-0.005218525766470972,0,0.56064665,1
2026-01-27,000858,-0.003167689566422438,0,0.5125055,1
2026-01-27,301536,-0.03241690603200664,0,0.4826639,0
2026-01-27,300601,-0.02946482260974137,0,0.4701149,0
2026-01-27,603259,-0.0009395552771688243,0,0.50731146,1
2026-01-27,601601,-0.00045248868778291484,0,0.49872142,0
2026-01-27,601872,-0.006227758007117501,0,0.50017697,1
2026-01-27,600196,-0.026011560693641522,0,0.5012079,1
2026-01-27,000661,-0.021105527638190846,0,0.50052357,1
2026-01-27,300832,-0.019258987527512872,0,0.56480885,1
2026-01-27,003816,0.005208333333333259,1,0.48229948,0
2026-01-27,600958,-0.007699711260827691,0,0.49135494,0
2026-01-27,300373,0.12065745237205827,1,0.44438723,0
2026-01-27,600362,0.05789473684210522,1,0.5112698,1
2026-01-27,603019,-0.013149385643457578,0,0.51866996,1
2026-01-27,600039,-0.01635991820040905,0,0.48749295,0
2026-01-27,600436,-0.008888888888888946,0,0.5160818,1
2026-01-27,688396,-0.013931661533949313,0,0.5206404,1
2026-01-27,300442,-0.006390561632051206,0,0.5252423,1
2026-01-27,601211,-0.008084891359272373,0,0.5349274,1
2026-01-27,300223,0.05848582705418015,1,0.4911685,0
2026-01-27,601888,-0.01057268722466953,0,0.5467831,1
2026-01-27,302132,-0.00621504039776255,0,0.5300287,1
2026-01-27,688009,0.00723327305605781,1,0.46988758,0
2026-01-27,600547,0.0997235023041474,1,0.46396998,0
2026-01-27,002371,0.008680276482880611,1,0.474788,0
2026-01-27,688223,-0.027818448023426146,0,0.44096324,0
2026-01-27,603288,-0.012425868398757367,0,0.54804504,1
2026-01-27,300383,0.029023746701847042,1,0.4224548,0
2026-01-27,000538,-0.018701482004234382,0,0.4747028,0
2026-01-27,000999,-0.011677282377919429,0,0.4902065,0
2026-01-27,000301,0.019261637239165186,1,0.45975918,0
2026-01-27,300751,-0.05594482758620678,0,0.5136627,1
2026-01-27,600660,-0.0038492381716118684,0,0.50893384,1
2026-01-27,300502,-0.01550445847109505,0,0.5151072,1
2026-01-27,600031,-0.025405168637757214,0,0.5099766,1
2026-01-27,002493,0.03204661325564451,1,0.47994527,0
2026-01-27,000651,-0.01490619378051905,0,0.54709387,1
2026-01-27,601058,0.04292120435618196,1,0.56932366,1
2026-01-27,600999,0.010632014176018778,1,0.49787226,0
2026-01-27,600372,-0.027405602923264327,0,0.50138336,1
2026-01-27,002001,0.016304347826086918,1,0.518439,1
2026-01-27,300308,0.020142949967511425,1,0.5165978,1
2026-01-27,000596,0.021735604217356208,1,0.585379,1
2026-01-27,688472,-0.027843601895734538,0,0.49936572,0
2026-01-27,300059,-0.00524017467248894,0,0.49591058,0
2026-01-27,002938,-0.019672673169118915,0,0.47123533,0
2026-01-27,603893,0.007247825652304307,1,0.5021417,1
2026-01-27,300718,-0.019963257807716017,0,0.5026004,1
2026-01-27,301611,-0.03749615029257769,0,0.52664894,1
2026-01-27,300142,-0.033358042994811044,0,0.41618875,0
2026-01-27,300760,-0.021336386344712688,0,0.46110517,0
2026-01-27,601688,0.0,0,0.5353687,1
2026-01-27,000166,0.007889546351084853,1,0.47521994,0
2026-01-27,300347,-0.02717948717948726,0,0.51978415,1
2026-01-27,300735,-0.011868300153139444,0,0.4833034,0
2026-01-27,301308,0.007463699280770841,1,0.51097924,1
2026-01-27,601985,-0.010332950631458226,0,0.49251476,0
2026-01-27,300548,0.06148255813953485,1,0.47600362,0
2026-01-27,300759,-0.017122160026341815,0,0.5328896,1
2026-01-27,600438,-0.024615384615384595,0,0.42057967,0
2026-01-27,600332,-0.001577287066246047,0,0.52329,1
2026-01-27,000617,-0.005524861878453136,0,0.49310878,0
2026-01-27,600061,0.017105263157894735,1,0.47199014,0
2026-01-27,002463,0.006146109791870247,1,0.50742424,1
2026-01-27,688187,-0.003289473684210509,0,0.43101147,0
2026-01-27,000425,-0.01382488479262678,0,0.495453,0
2026-01-27,300919,0.006587146163432367,1,0.49891862,0
2026-01-27,000338,-0.010828821324448179,0,0.45289236,0
2026-01-27,601699,0.08702408702408704,1,0.49586266,0
2026-01-27,600938,0.06977443609022549,1,0.47131103,0
2026-01-27,001979,0.024415055951169995,1,0.51986456,1
2026-01-27,601868,-0.008064516129032251,0,0.44969082,0
2026-01-27,601127,-0.03748445549831225,0,0.5183088,1
2026-01-27,300866,-0.025230470645317804,0,0.517805,1
2026-01-27,000768,-0.010945273631840724,0,0.5217586,1
2026-01-27,300002,0.0387149917627676,1,0.5266714,1
2026-01-27,002074,-0.013846153846153841,0,0.51553535,1
2026-01-27,000063,-0.013681592039801127,0,0.49426684,0
2026-01-27,301301,-0.013274336283185861,0,0.49092957,0
2026-01-27,600519,-0.014385596533160516,0,0.5306269,1
2026-01-27,300454,-0.028667884221595052,0,0.51501447,1
2026-01-27,688506,-0.008189836203276069,0,0.55887616,1
2026-01-27,601898,0.02754399387911244,1,0.47723022,0
2026-01-27,300001,0.0014260249554367554,1,0.52678967,1
2026-01-27,300724,-0.05967966064506691,0,0.52400744,1
2026-01-27,605117,-0.04080551139374666,0,0.44504932,0
2026-01-27,002475,-0.008190618019359608,0,0.5346389,1
