mse,r2,accuracy,ic,win_rate,baseline_mse,baseline_r2,period
0.0005729172273286455,-0.0005938103272804529,0.45256561179973687,,0.45256561179973687,0.0005723418259129326,0.0004111220914920777,2020-2022 -> 2023-2023
0.0008030497943799229,-0.0007513825275144992,0.47147422314361964,,0.47147422314361964,0.0008012168794094361,0.0015327749476595764,2021-2023 -> 2024-2024
0.0006099172935509506,-0.0020263655049510554,0.4785221127574909,0.01665465227809803,0.478488101851327,0.0006118728361637926,-0.005239104801992189,2022-2024 -> 2025-2025
0.000762911905415734,-0.001004032046723502,0.4591047661536174,0.0036048093497150495,0.4589188787270429,0.0007640512615362902,-0.0024989622772229048,2023-2025 -> 2026-2026
