ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
300661.SZ,2020-05-20,382.0,384.99,354.69,371.02,394.1,-23.08,-5.8564,29471.8,1088369.879
300661.SZ,2020-05-21,239.49,249.46,236.04,244.3,247.01,-2.71,-1.0971,28067.54,684773.098
300661.SZ,2020-05-22,243.5,259.68,240.52,251.0,244.3,6.7,2.7425,29583.86,743302.216
300661.SZ,2020-05-25,251.0,253.5,236.01,246.96,251.0,-4.04,-1.6096,27180.54,664921.002
300661.SZ,2020-05-26,250.12,271.66,250.12,267.98,246.96,21.02,8.5115,42562.23,1134136.519
300661.SZ,2020-05-27,265.0,265.96,241.18,241.18,267.98,-26.8,-10.0007,48992.21,1215602.962
300661.SZ,2020-05-28,229.0,232.89,217.2,218.17,241.18,-23.01,-9.5406,47244.3,1054904.545
300661.SZ,2020-05-29,216.75,219.89,210.0,218.74,218.17,0.57,0.2613,33057.8,712566.972
300661.SZ,2020-06-01,220.0,232.45,215.67,223.86,218.74,5.12,2.3407,41355.06,923719.391
300661.SZ,2020-06-02,225.0,225.5,218.0,225.34,223.86,1.48,0.6611,27181.32,604886.423
300661.SZ,2020-06-03,227.7,227.7,212.41,217.25,225.34,-8.09,-3.5901,26720.23,584524.446
300661.SZ,2020-06-04,217.26,223.4,215.01,217.3,217.25,0.05,0.023,24830.3,542482.276
300661.SZ,2020-06-05,218.8,225.0,217.75,219.81,217.3,2.51,1.1551,23962.03,530128.723
300661.SZ,2020-06-08,223.0,231.2,220.0,220.2,219.81,0.39,0.1774,25305.72,568094.613
300661.SZ,2020-06-09,221.0,242.0,217.0,242.0,220.2,21.8,9.9001,38684.76,904486.881
300661.SZ,2020-06-10,236.89,246.27,236.89,244.5,242.0,2.5,1.0331,25192.79,609655.592
300661.SZ,2020-06-11,246.69,246.8,240.0,243.23,244.5,-1.27,-0.5194,20280.43,492552.388
300661.SZ,2020-06-12,236.83,243.73,227.51,239.03,243.23,-4.2,-1.7268,29982.83,710032.398
300661.SZ,2020-06-15,236.0,246.61,234.11,244.0,239.03,4.97,2.0792,25758.92,622729.268
300661.SZ,2020-06-16,245.0,259.93,245.0,252.0,244.0,8.0,3.2787,25985.99,656309.036
300661.SZ,2020-06-17,250.0,252.88,242.0,244.02,252.0,-7.98,-3.1667,14045.18,345471.672
300661.SZ,2020-06-18,244.5,265.24,242.18,263.01,244.02,18.99,7.7821,30419.34,780332.988
300661.SZ,2020-06-19,260.1,268.88,257.84,262.95,263.01,-0.06,-0.0228,23795.3,623106.391
300661.SZ,2020-06-22,269.0,275.7,262.26,270.05,262.95,7.1,2.7001,29730.33,799999.126
300661.SZ,2020-06-23,271.01,287.0,268.5,286.0,270.05,15.95,5.9063,24183.56,673362.888
300661.SZ,2020-06-24,283.25,301.88,278.5,300.4,286.0,14.4,5.035,30797.86,897407.289
300661.SZ,2020-06-29,294.0,295.57,280.9,290.6,300.4,-9.8,-3.2623,23730.59,681592.508
300661.SZ,2020-06-30,290.5,308.6,288.66,305.05,290.6,14.45,4.9725,21869.15,655692.575
300661.SZ,2020-07-01,308.0,330.98,305.0,316.3,305.05,11.25,3.6879,26323.97,834160.955
300661.SZ,2020-07-02,316.25,329.85,304.65,307.0,316.3,-9.3,-2.9402,24103.48,750661.312
300661.SZ,2020-07-03,303.0,303.02,290.88,297.01,307.0,-9.99,-3.2541,30797.49,911741.916
300661.SZ,2020-07-06,295.72,324.0,291.12,315.7,297.01,18.69,6.2927,30661.9,950601.02
300661.SZ,2020-07-07,315.85,346.9,315.75,324.56,315.7,8.86,2.8065,33649.91,1114224.186
300661.SZ,2020-07-08,321.35,338.0,320.0,330.4,324.56,5.84,1.7994,23945.29,788901.077
300661.SZ,2020-07-09,325.0,340.55,324.07,328.28,330.4,-2.12,-0.6416,24516.38,816269.734
300661.SZ,2020-07-10,324.61,346.88,324.61,337.02,328.28,8.74,2.6624,27559.55,933880.547
300661.SZ,2020-07-13,336.95,355.78,334.12,355.26,337.02,18.24,5.4121,27837.09,972788.899
300661.SZ,2020-07-14,352.94,390.79,347.51,390.79,355.26,35.53,10.0011,35477.49,1301348.286
300661.SZ,2020-07-15,370.0,405.0,360.2,380.0,390.79,-10.79,-2.7611,44283.26,1678239.743
300661.SZ,2020-07-16,374.13,381.75,342.0,342.0,380.0,-38.0,-10.0,30108.77,1083560.223
300661.SZ,2020-07-17,342.0,356.62,325.0,335.17,342.0,-6.83,-1.9971,33241.58,1137244.481
300661.SZ,2020-07-20,337.0,356.16,333.28,353.0,335.17,17.83,5.3197,24931.94,861014.995
300661.SZ,2020-07-21,350.99,373.0,349.08,364.85,353.0,11.85,3.3569,23272.32,845939.737
300661.SZ,2020-07-22,362.0,387.49,360.01,374.11,364.85,9.26,2.538,24644.73,924521.527
300661.SZ,2020-07-23,370.88,383.5,365.0,383.5,374.11,9.39,2.51,23962.99,900818.668
300661.SZ,2020-07-24,369.36,380.61,345.15,345.15,383.5,-38.35,-10.0,26277.44,945872.945
300661.SZ,2020-07-27,342.37,345.83,322.0,336.97,345.15,-8.18,-2.37,26490.14,889721.743
300661.SZ,2020-07-28,339.0,342.48,324.01,328.78,336.97,-8.19,-2.4305,23783.73,785910.104
300661.SZ,2020-07-29,329.89,352.5,327.09,346.1,328.78,17.32,5.268,27491.94,937823.665
300661.SZ,2020-07-30,349.8,362.44,346.2,357.6,346.1,11.5,3.3227,23220.07,821166.928
300661.SZ,2020-07-31,357.4,368.39,355.0,363.0,357.6,5.4,1.5101,23730.83,859334.452
