date,signal_date,portfolio_return,gross_return,equity_curve,cumulative_return,transaction_cost,transaction_cost_amount,slippage_amount,turnover,cash,n_stocks,stale_price_positions,benchmark_cumulative,benchmark_return,benchmark_equity
2025-09-17,2025-09-16,-0.0012986114155763007,0.0,998701.3885844237,0.9987013885844237,0.00029991002699190244,299.91002699190244,998.7013885843328,0.49935069429221185,0.0,10,0,1.0,0.0,1000000.0
2025-09-18,2025-09-17,-0.0033709048063959024,-0.0005856918784963305,995334.8612734902,0.9953348612734902,0.0009884598022118366,987.176177028846,1794.419841567888,0.8989030430558679,-1.4551915228366852e-11,10,0,1.0063635554622843,0.006363555462284287,1006363.5554622842
2025-09-19,2025-09-18,-0.004606405952265025,-0.00274186834401835,990749.9448440232,0.9907499448440232,0.0006617161858622767,658.6291880576522,1197.2100935858111,0.6030642339246763,0.0,10,0,0.9959721390232986,-0.010325708222027385,995972.1390232986
2025-09-22,2025-09-19,-0.003973788548441992,-0.0008810408343610243,986812.9140588325,0.9868129140588324,0.001097602543464082,1087.4496593976987,1976.689967744677,0.9984522625230416,-1.4551915228366852e-11,10,0,0.9988353626491658,0.0028748029324143776,998835.3626491658
2025-09-23,2025-09-22,0.010040124698648567,0.01256862265161418,996720.6387702199,0.9967206387702199,0.0008973527881639889,885.5193198269241,1609.6351133306807,0.8054491953987346,0.0,10,0,1.0043103314689394,0.005481352607753731,1004310.3314689394
2025-09-24,2025-09-23,0.0048371201666965735,0.007652360691386084,1001541.896272578,1.001541896272578,0.0009991164640729298,995.8400002766141,1810.168333783757,0.9011659831623975,-2.9103830456733704e-11,10,0,0.9951253916621616,-0.009145519585906925,995125.3916621617
2025-09-25,2025-09-24,0.024161591619120015,0.026401075537578977,1025740.7425597552,1.0257407425597551,0.000794782980117047,796.008453031598,1446.928517333866,0.7037701795009657,-1.4551915228366852e-11,10,0,1.0103374017053603,0.015286525869659506,1010337.4017053604
2025-09-26,2025-09-25,0.0018947671407405497,0.004392278078350298,1027684.2824136761,1.027684282413676,0.0008863556328792013,909.1710850415337,1652.6276386536701,0.8020548046294426,1.4551915228366852e-11,10,0,1.0131999612156501,0.002833270851359204,1013199.9612156502
2025-09-29,2025-09-26,-0.02577679799111221,-0.023939810157394215,1001193.8722672577,1.0011938722672578,0.000651938892209627,669.9873526180176,1217.8561710795832,0.6070573074494378,0.0,10,0,1.0083563449380888,-0.004780513682363319,1008356.3449380888
2025-09-30,2025-09-29,0.0261136432064053,0.028674675617191392,1027338.6918280841,1.027338691828084,0.0009088991239650351,909.9842334228717,1654.1057229344065,0.803039739376457,0.0,10,0,1.0249293491711617,0.016435662170688703,1024929.3491711618
