ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300724.SZ,20200102,38.08,39.92,37.5,39.88,37.89,1.99,5.252,50923.61,199421.536
300724.SZ,20200103,39.8,43.3,39.24,42.65,39.88,2.77,6.9458,81839.09,342646.722
300724.SZ,20200106,42.2,46.9,42.2,46.3,42.65,3.65,8.558,88004.39,398517.544
300724.SZ,20200107,46.7,50.93,46.7,50.93,46.3,4.63,10.0,100482.22,501300.234
300724.SZ,20200108,52.0,54.85,50.05,51.96,50.93,1.03,2.0224,137882.21,725272.85
300724.SZ,20200109,50.07,51.7,48.8,50.8,51.96,-1.16,-2.2325,77483.28,388488.388
300724.SZ,20200110,50.05,53.79,50.05,52.47,50.8,1.67,3.2874,81322.16,427376.803
300724.SZ,20200113,52.4,56.6,52.11,53.98,52.47,1.51,2.8778,60030.09,324363.298
300724.SZ,20200114,54.68,55.88,52.92,53.66,53.98,-0.32,-0.5928,47843.31,259591.036
300724.SZ,20200115,54.25,55.75,52.05,55.0,53.66,1.34,2.4972,57123.52,308563.499
300724.SZ,20200116,54.59,54.6,52.68,54.48,55.0,-0.52,-0.9455,59128.31,316045.477
300724.SZ,20200117,53.8,54.63,52.7,53.24,54.48,-1.24,-2.2761,34328.87,184512.524
300724.SZ,20200120,53.79,54.97,52.06,54.36,53.24,1.12,2.1037,34830.3,187197.016
300724.SZ,20200121,54.23,57.88,52.51,57.25,54.36,2.89,5.3164,60549.26,341831.324
300724.SZ,20200122,56.98,60.83,52.0,58.21,57.25,0.96,1.6769,61421.33,345171.901
300724.SZ,20200123,61.34,61.34,53.5,55.3,58.21,-2.91,-4.9991,50041.91,287938.456
300724.SZ,20200203,49.77,49.99,49.77,49.77,55.3,-5.53,-10.0,12386.0,61645.357
300724.SZ,20200204,48.01,54.75,48.01,54.43,49.77,4.66,9.3631,72910.44,386439.339
300724.SZ,20200205,54.17,57.21,52.7,53.63,54.43,-0.8,-1.4698,48590.67,266997.751
300724.SZ,20200206,53.02,57.3,52.1,56.8,53.63,3.17,5.9109,46848.69,257763.571
300724.SZ,20200207,56.8,60.5,55.72,59.41,56.8,2.61,4.5951,38862.89,225600.368
300724.SZ,20200210,57.0,61.95,56.88,60.29,59.41,0.88,1.4812,48293.61,289033.465
300724.SZ,20200211,61.0,61.01,57.71,59.85,60.29,-0.44,-0.7298,32793.78,195471.13
300724.SZ,20200212,65.84,65.84,65.84,65.84,59.85,5.99,10.0084,4945.36,32560.25
300724.SZ,20200213,72.42,72.42,69.19,72.42,65.84,6.58,9.9939,132622.2,954589.711
300724.SZ,20200214,70.5,74.28,70.31,71.0,72.42,-1.42,-1.9608,82130.22,590843.614
300724.SZ,20200217,70.34,72.68,70.34,71.4,71.0,0.4,0.5634,60950.6,436615.456
300724.SZ,20200218,71.29,78.54,71.1,78.54,71.4,7.14,10.0,88661.7,665719.981
300724.SZ,20200219,76.32,82.21,75.07,79.05,78.54,0.51,0.6494,60739.68,481346.115
300724.SZ,20200220,81.93,82.1,75.96,78.63,79.05,-0.42,-0.5313,60048.91,473400.942
300724.SZ,20200221,77.4,79.8,74.32,76.38,78.63,-2.25,-2.8615,67097.73,518813.067
300724.SZ,20200224,74.39,76.68,72.99,74.86,76.38,-1.52,-1.99,63497.69,471865.857
300724.SZ,20200225,72.1,73.78,68.9,72.48,74.86,-2.38,-3.1793,63841.3,458315.704
300724.SZ,20200226,70.14,72.24,68.38,68.68,72.48,-3.8,-5.2428,62166.66,436913.759
300724.SZ,20200227,70.07,71.97,68.0,69.2,68.68,0.52,0.7571,60602.45,424743.303
300724.SZ,20200228,66.4,69.07,65.66,65.75,69.2,-3.45,-4.9855,57125.37,383784.66
300724.SZ,20200302,68.66,68.87,63.0,67.5,65.75,1.75,2.6616,76944.92,506632.744
300724.SZ,20200303,68.84,71.12,68.4,69.79,67.5,2.29,3.3926,61648.8,431072.106
300724.SZ,20200304,68.0,68.9,65.2,68.0,69.79,-1.79,-2.5648,42228.75,283406.965
300724.SZ,20200305,68.64,71.0,67.5,69.33,68.0,1.33,1.9559,35307.82,245610.467
300724.SZ,20200306,67.9,71.3,67.51,69.62,69.33,0.29,0.4183,31513.13,220783.25
300724.SZ,20200309,67.0,67.66,62.68,63.96,69.62,-5.66,-8.1298,59278.44,386648.329
300724.SZ,20200310,63.81,69.21,63.81,67.65,63.96,3.69,5.7692,49502.34,330532.844
300724.SZ,20200311,68.7,71.3,66.5,66.5,67.65,-1.15,-1.6999,50384.67,347812.961
300724.SZ,20200312,65.79,67.42,64.0,64.91,66.5,-1.59,-2.391,31420.07,204858.246
300724.SZ,20200313,61.17,64.98,61.1,63.4,64.91,-1.51,-2.3263,42856.28,270166.546
300724.SZ,20200316,64.0,64.65,57.06,57.73,63.4,-5.67,-8.9432,72606.85,431485.549
300724.SZ,20200317,60.38,60.62,54.0,56.7,57.73,-1.03,-1.7842,51160.99,289594.807
300724.SZ,20200318,58.26,59.5,55.54,55.86,56.7,-0.84,-1.4815,41010.59,238025.733
300724.SZ,20200319,57.32,57.41,53.26,54.92,55.86,-0.94,-1.6828,46110.01,252141.745
300724.SZ,20200320,56.74,56.97,53.38,54.7,54.92,-0.22,-0.4006,31579.48,172460.601
300724.SZ,20200323,52.53,53.46,49.25,49.25,54.7,-5.45,-9.9634,49139.76,251187.539
300724.SZ,20200324,50.9,51.33,47.53,49.26,49.25,0.01,0.0203,48085.22,237715.535
300724.SZ,20200325,50.79,52.5,49.8,52.0,49.26,2.74,5.5623,50722.65,261477.927
300724.SZ,20200326,52.09,52.09,49.49,50.1,52.0,-1.9,-3.6538,35527.48,179859.273
300724.SZ,20200327,50.97,52.5,48.85,48.9,50.1,-1.2,-2.3952,49370.42,248895.458
300724.SZ,20200330,47.91,48.7,45.8,46.89,48.9,-2.01,-4.1104,57554.31,270146.153
300724.SZ,20200331,48.0,48.2,46.1,46.35,46.89,-0.54,-1.1516,32764.55,154189.019
300724.SZ,20200401,47.07,48.5,45.9,46.7,46.35,0.35,0.7551,38077.94,180002.203
300724.SZ,20200402,46.86,51.37,46.8,51.37,46.7,4.67,10.0,56465.12,280714.664
300724.SZ,20200403,52.0,53.66,51.1,52.15,51.37,0.78,1.5184,52777.81,276120.935
300724.SZ,20200407,52.94,55.2,52.5,53.73,52.15,1.58,3.0297,42115.15,225429.12
300724.SZ,20200408,53.11,53.51,50.63,51.31,53.73,-2.42,-4.504,45557.56,236145.789
300724.SZ,20200409,51.89,52.18,49.85,50.18,51.31,-1.13,-2.2023,40983.38,207141.779
300724.SZ,20200410,50.36,50.6,47.87,48.4,50.18,-1.78,-3.5472,36257.37,177844.027
300724.SZ,20200413,48.04,49.49,47.51,48.55,48.4,0.15,0.3099,31758.44,154762.574
300724.SZ,20200414,49.01,52.0,48.71,51.82,48.55,3.27,6.7353,38838.37,197174.948
300724.SZ,20200415,51.91,52.8,50.1,50.29,51.82,-1.53,-2.9525,38695.38,199048.528
300724.SZ,20200416,50.02,52.79,49.4,52.22,50.29,1.93,3.8377,31856.1,163514.865
300724.SZ,20200417,53.39,57.24,53.39,54.33,52.22,2.11,4.0406,49149.6,270509.744
300724.SZ,20200420,55.02,56.1,52.66,55.76,54.33,1.43,2.6321,37437.58,202778.342
300724.SZ,20200421,54.88,54.88,51.91,53.65,55.76,-2.11,-3.7841,32621.35,173685.009
300724.SZ,20200422,53.0,55.96,52.25,55.26,53.65,1.61,3.0009,26763.83,145020.236
300724.SZ,20200423,55.3,57.97,54.54,56.6,55.26,1.34,2.4249,36014.33,203513.413
300724.SZ,20200424,55.53,56.8,54.48,54.48,56.6,-2.12,-3.7456,20295.57,112578.9
300724.SZ,20200427,54.9,56.35,53.0,55.14,54.48,0.66,1.2115,26603.78,145443.496
300724.SZ,20200428,55.68,60.47,52.81,58.82,55.14,3.68,6.6739,51788.89,295028.856
300724.SZ,20200429,58.66,61.68,58.0,60.8,58.82,1.98,3.3662,36638.02,221348.203
300724.SZ,20200430,62.3,66.23,62.24,65.01,60.8,4.21,6.9243,38755.51,251584.289
300724.SZ,20200506,65.01,67.0,63.65,64.66,65.01,-0.35,-0.5384,42283.33,274026.529
300724.SZ,20200507,64.67,66.4,63.92,65.39,64.66,0.73,1.129,30902.08,201007.782
300724.SZ,20200508,66.97,70.77,66.97,68.5,65.39,3.11,4.7561,44070.0,305267.674
